Level,Hierarchical structure,Code,Parent,Class title,Superscript,Class definition
3,Class,01.0207,01.02,Irrigation management technology/technician,,"This instructional program class comprises any program that prepares individuals for employment in the field of agricultural technology and irrigation. These programs include courses in irrigation and drainage methodologies, pumping and delivery systems, system design and evaluation, and principles of installation and repair of irrigation systems."
3,Class,01.0299,01.02,"Agricultural mechanization, other",,This instructional program class comprises any program not listed above that relates to Agricultural mechanization.
2,Subseries,01.03,01.,Agricultural production operations,,This subseries comprises instructional program classes 01.0301 to 01.0399.
3,Class,01.0301,01.03,"Agricultural production operations, general",,"This instructional program class comprises any program that focuses on the general planning, economics, and use of facilities, natural resources, equipment, labour, and capital to produce plant and animal products, and that prepares individuals for work in farming, ranching, and agribusiness."
3,Class,01.0302,01.03,Animal/livestock husbandry and production,,"This instructional program class comprises any program that prepares individuals to select, breed, care for, process, and market livestock and small farm animals. These programs include courses in basic animal science, animal nutrition, and animal health as applied to various species and breeds; design and operation of housing, feeding, and processing facilities; and related issues of safety, applicable regulations, logistics, and supply."
3,Class,01.0303,01.03,Aquaculture,,"This instructional program class comprises any program that prepares individuals to select, culture, propagate, harvest, and market domesticated fish, shellfish, and marine plants, both freshwater and saltwater. These programs include courses in the basic principles of aquatic and marine biology; health and nutrition of aquatic and marine life; design and operation of fish farms, breeding facilities, culture beds, and related enterprises; and related issues of safety, applicable regulations, logistics, and supply."
3,Class,01.0304,01.03,Crop production,,"This instructional program class comprises any program that prepares individuals to cultivate grain, fibre, forage, oilseed, fruits and nuts, vegetables, and other domesticated plant products. These programs include courses in basic principles of plant science, health, and nutrition as applied to particular species and breeds; soil preparation and irrigation; pest management; planting and harvesting operations; product marketing; and applicable issues of safety, regulation, logistics, and supply."
3,Class,01.0306,01.03,Dairy husbandry and production,,"This instructional program class comprises any program that prepares individuals to manage the selection and care of dairy animals and associated dairy farm and processing facilities and operations. These programs include courses in basic animal and dairy science; dairy animal nutrition and health; design and operation of dairy housing, feeding, and processing facilities and equipment; and related issues of safety, sanitation, shipping and handling, and applicable regulations."
3,Class,01.0307,01.03,Horse husbandry/equine science and management,,"This instructional program class comprises any program that prepares individuals to manage the selection, breeding, care, and maintenance of work, athletic, and show horses; and horse farms, stables, tracks and related equipment and operations. These programs include courses in applicable principles of animal science, care, and health; stable and track management; design and operation of facilities and equipment; and related issues such as regulations, business management; and logistics."
3,Class,01.0308,01.03,Agroecology and sustainable agriculture,,"This instructional program class comprises any program that focuses on agricultural principles and practices that, over the long term, enhance environmental quality, make efficient use of non-renewable resources, integrate natural biological cycles and controls, and are economically viable and socially responsible; and that may prepare individuals to apply this knowledge to the solution of agricultural and environmental problems. These programs include courses in principles of agroecology, crop and soil sciences, entomology, horticulture, animal science, weed science and management, soil fertility and nutrient cycling, applied ecology, agricultural economics, and rangeland ecology and watershed management."
3,Class,01.0310,01.03,Apiculture,,"This instructional program class comprises any program that focuses on improving the beekeeping industry, promoting pollination of fruits and vegetables, and bee colony expansion and maintenance. These programs include courses in apiary behaviour, apiary equipment and supplies, beekeeping, bee pests and parasites, handling bees, hive set up and care, queen rearing, and seasonal management practices."
3,Class,01.0399,01.03,"Agricultural production operations, other",,This instructional program class comprises any program not listed above that relates to Agricultural production operations.
2,Subseries,01.04,01.,Agricultural and food products processing,,This subseries comprises instructional program classes 01.0401 to 01.0499.
3,Class,01.0401,01.04,"Agricultural and food products processing, general",,"This instructional program class comprises any program that prepares individuals to receive, inspect, store, process, and package agricultural products in the form of human food consumables, animal or plant food, or other industrial products. These programs include courses in the nutrient and industrial properties of various agricultural products; logistics and storage procedures; chemical and mechanical processing operations; packaging; safety and health requirements; and related technical and business principles."
3,Class,01.0480,01.04,Cannabis product processing and inspection,CAN,"This instructional program class comprises any program that prepares individuals to receive, inspect, store, process, and package cannabis plants and products in the form of medicinal products, human food consumables, and other products. These programs include courses in the medicinal and nutrient properties of various cannabis products; drying, curing, milling, extraction and other processing operations; packaging; logistics and storage procedures; inventory control; security requirements; sanitation; health and safety procedures; applicable laws and government regulatory and licensing requirements; and related technical and business principles."
3,Class,01.0499,01.04,"Agricultural and food products processing, other",,This instructional program class comprises any program not listed above that relates to Agricultural and food products processing.
2,Subseries,01.05,01.,Agricultural and domestic animal services,,This subseries comprises instructional program classes 01.0504 to 01.0599.
3,Class,01.0504,01.05,Dog/pet/animal grooming,,"This instructional program class comprises any program that prepares individuals to provide cosmetic services for household pets, show animals, work animals and animal athletes. These programs include courses in skin, coat and pelt grooming and styling; skin care; hoof, nail, and claw care; animal massage; minor first aid and veterinary referral; animal grooming products and applications; health and safety; and applicable regulations."
3,Class,01.0505,01.05,Animal training,,"This instructional program class comprises any program that prepares individuals to teach and exercise animals for leisure, sport, show, and professional purposes. These programs include courses in animal psychology, health, and safety; human animal interaction; learning and behaviour styles associated with different breeds and species; and the technical and pedagogical aspects of training animals for such specific functions as obedient household pets, performing show animals, animal athletes, care-giving (e.g., seeing-eye dogs), search and rescue, and police/security work."
3,Class,01.0507,01.05,Equestrian/equine studies,,"This instructional program class comprises any program that focuses on the horse, horsemanship, and related subjects and prepares individuals to care for horses and horse equipment; ride and drive horses for leisure, sport, show, and professional purposes; and manage the training of horses and riders. These programs include courses in horse breeding, nutrition, health, and safety; history of the horse and horsemanship; horse development and training; riding and equestrian technique; stable, paddock, and track management; and equipment maintenance and repair."
3,Class,01.0508,01.05,Taxidermy/taxidermist,,"This instructional program class comprises any program that prepares individuals to reproduce life-like three-dimensional representations of living animals for permanent display using elements of the deceased specimen(s) as well as artificial materials, and to manage taxidermy services and businesses. These programs include courses in specimen grading and selection, capping and fleshing, preservation procedures, tanning, drying, measurements, form and armature construction, carpentry and woodworking, moulding and casting, drawing, sculptural techniques, painting and finishing techniques, basic business operations, customer communications, and applicable laws and regulations."
3,Class,01.0509,01.05,Farrier science,,"This instructional program class comprises any program that prepares individuals to become specialists in equine hoof care (farriers). These programs include courses in equine science, equine health and first aid, general horseshoeing, corrective horseshoeing, gait analysis, and metal forging techniques using gas or coal."
3,Class,01.0599,01.05,"Agricultural and domestic animal services, other",,This instructional program class comprises any program not listed above that relates to Agricultural and domestic animal services.
2,Subseries,01.06,01.,Applied horticulture/horticultural business services,,This subseries comprises instructional program classes 01.0601 to 01.0699.
3,Class,01.0601,01.06,"Applied horticulture/horticulture operations, general",,"This instructional program class comprises any program that focuses on the general production and processing of domesticated plants, shrubs, flowers, foliage, trees, groundcovers, and related plant materials; the management of technical and business operations connected with horticultural services; and the basic scientific principles needed to understand plants and their management and care."
3,Class,01.0603,01.06,Ornamental horticulture,,"This instructional program class comprises any program that focuses on domesticated plants and plant materials used for decorative and recreational applications and prepares individuals to breed, grow, and utilize ornamental plant varieties for commercial and aesthetic purposes. These programs include courses in applicable plant science subjects, the environmental design and artistic aspects of horticultural product usage, and the management of horticultural operations."
3,Class,01.0604,01.06,Greenhouse operations and management,,"This instructional program class comprises any program that prepares individuals to produce, store, and deliver plant species in controlled indoor environments for wholesale, commercial, research, or other purposes. These programs include courses in applicable principles of plant science; climate, irrigation, and nutrition control equipment operation and maintenance; facilities management; inventory control; safety procedures; and personnel supervision."
3,Class,01.0605,01.06,Landscaping and groundskeeping,,"This instructional program class comprises any program that prepares individuals to manage and maintain indoor and/or outdoor ornamental and recreational plants and groundcovers and related conceptual designs established by landscape architects, interior designers, enterprise owners or managers, and individual clients. These programs include courses in applicable principles of horticulture, gardening, plant and soil irrigation and nutrition, turf maintenance, plant maintenance, equipment operation and maintenance, personnel supervision, and purchasing."
3,Class,01.0606,01.06,Plant nursery operations and management,,"This instructional program class comprises any program that prepares individuals to operate and manage outdoor plant farms, tree and shrub nurseries, and related facilities that develop domesticated plant products for propagation, harvesting, and transplantation. These programs include courses in applicable principles of plant science; farm and business management; nursery operations; equipment operation and maintenance; safety procedures; and personnel supervision."
3,Class,01.0607,01.06,Turf and turfgrass management,,"This instructional program class comprises any program that focuses on turf grasses and related groundcover plants and prepares individuals to develop ornamental or recreational grasses and related products; plant, transplant, and manage grassed areas; and to produce and store turf used for transplantation. These programs include courses in applicable plant sciences, genetics of grasses, turf science, use analysis, turf management, and related economics."
3,Class,01.0608,01.06,Floriculture/floristry operations and management,,"This instructional program class comprises any program that prepares individuals to operate and manage commercial and contract florist enterprises, supply and delivery services, and flower catering services. These programs include courses in the applicable principles of plant science; purchasing, storage, and delivery systems; floral design and arranging; and principles of business management."
3,Class,01.0609,01.06,Public horticulture,,"This instructional program class comprises any program that focuses on combining traditional horticulture and public education and outreach. These programs include courses in botany, soil science, plant science, agricultural economics, leadership, and business."
3,Class,01.0610,01.06,Urban and community horticulture,,"This instructional program class comprises any program that focuses on principles and techniques for the production of horticultural crops in an urban environment. These programs include courses in ecology, environmental sustainability, food production systems, and plant and soil sciences."
3,Class,01.0680,01.06,Cannabis production operations and management,CAN,"This instructional program class comprises any program that prepares individuals to produce, cultivate, propagate, harvest, store, and deliver cannabis plants and products outdoors and in controlled indoor environments for retail, wholesale, medicinal, commercial, research, and other purposes. These programs include courses in applicable principles of plant science; cultivar selection; plant management and care; growing mediums and hydroponic systems; product testing and quality assurance; plant nutrition, environment, lighting, climate, irrigation and pest control equipment operation and maintenance; facilities management; inventory control; security requirements; sanitation; health and safety procedures; applicable laws and government regulatory and licensing requirements; principles of business management; supply and delivery services; software applications; and personnel supervision."
3,Class,01.0699,01.06,"Applied horticulture/horticultural business services, other",,This instructional program class comprises any program not listed above that relates to Applied horticulture/horticultural business services.
2,Subseries,01.07,01.,International agriculture,,This subseries comprises instructional program class 01.0701.
3,Class,01.0701,01.07,International agriculture,,"This instructional program class comprises any program that focuses on the application of agricultural management and scientific principles to the problems of global food production and distribution, and to the study of the agricultural systems of other countries. These programs include courses in agricultural economics; comparative agricultural systems; international agribusiness and law; third-world development studies and economic development; and global applications of climate, soil, water resources, ecological and environmental studies, and animal and plant sciences."
2,Subseries,01.08,01.,Agricultural public services,,This subseries comprises instructional program classes 01.0801 to 01.0899.
3,Class,01.0801,01.08,Agricultural and extension education services,,"This instructional program class comprises any program that prepares individuals to provide referral, consulting, technical assistance, and educational services to gardeners, farmers, ranchers, agribusinesses, and other organizations. These programs include courses in basic agricultural sciences, agricultural business operations, pest control, adult education methods, public relations, applicable laws and regulations, and communication skills."
3,Class,01.0802,01.08,Agricultural communication/journalism,,"This instructional program class comprises any program that prepares individuals to apply journalistic, communication, and broadcasting principles to the development, production, and transmittal of agricultural information. These programs include courses in basic journalism, broadcasting, film/video, and communication techniques; the production of technically specialized information products for agricultural audiences; and the principles of agricultural sciences and business operations needed to develop and communicate agricultural subject matter in effective ways."
3,Class,01.0899,01.08,"Agricultural public services, other",,This instructional program class comprises any program not listed above that relates to Agricultural public services.
2,Subseries,01.09,01.,Animal sciences,,This subseries comprises instructional program classes 01.0901 to 01.0999.
3,Class,01.0901,01.09,"Animal sciences, general",,"This instructional program class comprises any general program that focuses on the scientific principles that underlie the breeding and husbandry of agricultural animals, and the production, processing, and distribution of agricultural animal products. These programs include courses in the animal sciences, animal husbandry and production, and agricultural and food products processing."
3,Class,01.0902,01.09,Agricultural animal breeding,,"This instructional program class comprises any program that focuses on the application of genetics and genetic engineering to the improvement of agricultural animal health, the development of new animal breeds, and the selective improvement of agricultural animal populations. These programs include courses in genetics, genetic engineering, population genetics, animal health, animal husbandry, and biotechnology."
3,Class,01.0903,01.09,Animal health,,"This instructional program class comprises any program that focuses on the application of biological and chemical principles to the study, prevention, and control of diseases in agricultural animal populations. These programs include courses in environmental science, pharmacology, animal population studies, genetics, animal physiology and diet, disease prevention, treatment methodologies, and laboratory and testing procedures."
3,Class,01.0904,01.09,Animal nutrition,,"This instructional program class comprises any program that focuses on the biology and chemistry of proteins, fats, carbohydrates, water, vitamins, and feed additives as related to animal health and the production of improved animal products. These programs include courses in nutrition science, animal health and physiology, biochemistry, cellular and molecular biology, animal husbandry, and food science."
3,Class,01.0905,01.09,Dairy science,,"This instructional program class comprises any program that focuses on the application of biological and chemical principles to the production and management of dairy animals and the production and handling of dairy products. These programs include courses in animal sciences, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety."
3,Class,01.0906,01.09,Livestock management,,"This instructional program class comprises any program that focuses on the application of biological and chemical principles to the production and management of livestock animals and the production and handling of meat and other products. These programs include courses in animal sciences, range science, nutrition sciences, food science and technology, biochemistry, and related aspects of human and animal health and safety."
3,Class,01.0907,01.09,Poultry science,,"This instructional program class comprises any program that focuses on the application of biological and chemical principles to the production and management of poultry animals and the production and handling of poultry products. These programs include courses in avian sciences, nutrition sciences, food science and technology, biochemistry, hatchery design, and related aspects of human and animal health and safety."
3,Class,01.0999,01.09,"Animal sciences, other",,This instructional program class comprises any program not listed above that relates to Animal sciences.
2,Subseries,01.10,01.,Food science and technology,,This subseries comprises instructional program classes 01.1001 to 01.1099.
3,Class,01.1001,01.10,Food science,,"This instructional program class comprises any program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products. These programs include courses in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology."
3,Class,01.1002,01.10,Food technology and processing,,"This instructional program class comprises any program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products. These programs include courses in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance."
3,Class,01.1003,01.10,Brewing science,,"This instructional program class comprises any program that focuses on the business, science, and technology of beer brewing operations. These programs include courses in biology, biochemistry, brewing, entrepreneurship, fermentation, malting, marketing, microbiology, quality control, and sanitation."
3,Class,01.1004,01.10,Viticulture and enology,,"This instructional program class comprises any program that focuses on the application of scientific and agribusiness principles to the production of grapes, the making of wine, and the wine business. These programs include courses in grapes and wines of the world; grape production; winemaking technology; plant biology; chemistry; food science, safety, and packaging; soil science; pest management; and marketing and business management."
3,Class,01.1005,01.10,Zymology/fermentation science,,"This instructional program class comprises any program that focuses on the business, science, and technology of fermented food production. These programs include courses in biology, biochemistry, brewing, entrepreneurship, fermentation, marketing, microbiology, quality control, and sanitation."
3,Class,01.1099,01.10,"Food science and technology, other",,This instructional program class comprises any program not listed above that relates to Food science and technology.
2,Subseries,01.11,01.,Plant sciences,,This subseries comprises instructional program classes 01.1101 to 01.1199.
3,Class,01.1101,01.11,"Plant sciences, general",,"This instructional program class comprises any general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products. These programs include courses in the plant sciences, crop cultivation and production, and agricultural and food products processing."
3,Class,01.1102,01.11,Agronomy and crop science,,"This instructional program class comprises any program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them. These programs include courses in the growth and behaviour of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity."
3,Class,01.1103,01.11,Horticultural science,,"This instructional program class comprises any program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops. These programs include courses in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle."
3,Class,01.1104,01.11,Agricultural and horticultural plant breeding,,"This instructional program class comprises any program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations. These programs include courses in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology."
3,Class,01.1105,01.11,Plant protection and integrated pest management,,"This instructional program class comprises any program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. These programs include courses in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology."
3,Class,01.1106,01.11,Range science and management,,"This instructional program class comprises any program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance. These programs include courses in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology."
3,Class,01.1180,01.11,Cannabis product development and plant breeding,CAN,"This instructional program class comprises any program that focuses on the application of genetics and genetic engineering to the improvement of cannabis plant health, the development of new cannabis products and cannabis plant strains, and the selective improvement of cannabis plant populations. These programs include courses in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology; inventory control; security requirements; sanitation; health and safety procedures; and applicable laws and government regulatory and licensing requirements."
3,Class,01.1199,01.11,"Plant sciences, other",,This instructional program class comprises any program not listed above that relates to Plant sciences.
2,Subseries,01.12,01.,Soil sciences,,This subseries comprises instructional program classes 01.1201 to 01.1299.
3,Class,01.1201,01.12,"Soil science and agronomy, general",,"This instructional program class comprises any program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops. These programs include courses in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management."
3,Class,01.1202,01.12,Soil chemistry and physics,,"This instructional program class comprises any program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils. These programs include courses in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry."
3,Class,01.1203,01.12,Soil microbiology,,"This instructional program class comprises any program that focuses on the application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies. These programs include courses in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science."
3,Class,01.1299,01.12,"Soil sciences, other",,This instructional program class comprises any program not listed above that relates to Soil sciences.
2,Subseries,01.13,01.,Agriculture/veterinary preparatory programs,,This subseries comprises instructional program classes 01.1302 to 01.1399.
3,Class,01.1302,01.13,Pre-veterinary studies,,This instructional program class comprises any program that prepares individuals for admission to a professional program in veterinary medicine.
3,Class,01.1399,01.13,"Agriculture/veterinary preparatory programs, other",,This instructional program class comprises any program not listed above that relates to Agriculture or veterinary preparatory programs.
2,Subseries,01.80,01.,Veterinary medicine (DVM),,This subseries comprises instructional program class 01.8001.
3,Class,01.8001,01.80,Veterinary medicine (DVM),,"This instructional program class comprises any program that prepares individuals for the independent professional practice of veterinary medicine, involving the diagnosis, treatment, and health care management of animals and animal populations and the prevention and management of zoonosis. These programs include courses in the veterinary basic sciences, infectious and non-infectious disease, diagnostic procedures, veterinary clinical medicine, obstetrics, radiology, anesthesiology, surgery, toxicology, animal health and preventive medicine, clinical nutrition, practice management, and professional standards and ethics."
2,Subseries,01.81,01.,"Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",,This subseries comprises instructional program classes 01.8101 to 01.8199.
3,Class,01.8101,01.81,"Veterinary sciences/veterinary clinical sciences, general (Cert., MS, MSc, PhD)",,This instructional program class comprises any integrated program in one or more of the veterinary medical or clinical sciences or a program undifferentiated as to title.
3,Class,01.8102,01.81,"Comparative and laboratory animal medicine (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals. These programs include courses in laboratory animal husbandry, laboratory animal disease, biohazard control, gnotobiology, breeding, comparative anatomy and physiology, comparative gene mapping, protein function, physical and mathematical modelling, computer modelling, stem cell technology, colony and genetic stock management, cryopreservation, applicable regulations, and bioethics."
3,Class,01.8103,01.81,"Large animal/food animal and equine surgery and medicine (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of the internal medicine and invasive and non-invasive treatment of herd, work, sport, and food animals. These programs include courses in equine medicine, swine and dairy medicine, food animal medicine, pathophysiology, large animal diseases, large animal anesthesiology and surgical procedures, pre-operative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics."
3,Class,01.8104,01.81,"Small/companion animal surgery and medicine (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of the internal medicine and invasive and non-invasive treatment of companion and household animals. These programs include courses in avian medicine, pet care, companion animal medicine, pathophysiology, small animal diseases, small animal anesthesiology and surgical procedures, pre-operative and postoperative care, and specific medical specialties such as dentistry, ophthalmology, oncology, obstetrics/theriogenology, and orthopedics."
3,Class,01.8105,01.81,"Veterinary anatomy (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of the structure of small and large animal cellular, organ, tissue, and body systems and their relation to physiologic function, disease, and therapeutic treatment. These programs include courses in histology, ultrastructure, molecular biology, biochemistry, developmental biology, neuroscience, electrophysiology, electron microscopy, computer imaging, and applications to specific species."
3,Class,01.8106,01.81,"Veterinary infectious diseases (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of zoonotic infectious diseases, disease mechanisms, and prevention and treatment strategies. These programs include courses in disease pathogenesis, vector biology, mycobacterial infection, blood parasites, retroviruses, food-borne diseases, new infectious agents, ecotoxicology, mechanisms of disease transfer, antibody resistance, comparative pathology, communicable diseases, and disease prevention and eradication."
3,Class,01.8107,01.81,"Veterinary microbiology and immunobiology (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of the microbial causation and immunologic processes related to animal disease, prevention, and treatment. These programs include courses in bacteriology, mycology, virology, immune response mechanisms, humoral and cell function, cancer defences, immune system dysfunction, immunologic diseases, parasitology, pathogenesis, and disease vectors."
3,Class,01.8108,01.81,"Veterinary pathology and pathobiology (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of the development and process of disease in domestic and wild animals and applications to diagnosis, prevention, and treatment. These programs include courses in pathogenesis, immunoparasitology, viral therapy, inherited metabolic diseases, environmental toxicology, anatomical and clinical pathology, necropsy and biopsy techniques, clinical laboratory analysis, pathological interpretation, and disease diagnosis."
3,Class,01.8109,01.81,"Veterinary physiology (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of the functional dynamics of animal biological systems and their relationship to the diagnosis and treatment of disease and injury. These programs include courses in mammalian and non-mammalian physiology, laboratory physiology, physiological responses to the environment, endocrinology, animal biotechnology, mechanisms of hormone action, organ systems, metabolism, and pathophysiology."
3,Class,01.8110,01.81,"Veterinary preventive medicine, epidemiology and public health (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the study of the prevention and control of communicable animal diseases, diseases affecting humans, and prepares veterinarians to function as public health specialists. These programs include courses in animal epidemiology, biostatistics, food safety and quality assurance, food toxicology, zoonotic and infectious diseases, disease vectors and transference, production medicine, animal health, veterinary public health practice, and inspection and evaluation methods."
3,Class,01.8111,01.81,"Veterinary toxicology and pharmacology (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program that focuses on the scientific study of specific environmental and food hazards affecting domestic and wild animals and the development and action of chemical antidotes and treatments. These programs include courses in small and large animal toxicology and pharmacology, neurotoxicology, pharmacodynamics, pharmacokinetics, neuropharmacology, xenobiotics, drug resistance, pesticides, toxicological pathology, genetic and molecular toxicology, environmental toxicology, drug and toxicant analysis and evaluation, and environmental radiology."
3,Class,01.8199,01.81,"Veterinary biomedical and clinical sciences, other (Cert., MS, MSc, PhD)",,"This instructional program class comprises any program not listed above that relates to Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)."
2,Subseries,01.82,01.,Veterinary administrative services,,This subseries comprises instructional program classes 01.8201 to 01.8299.
3,Class,01.8201,01.82,"Veterinary administrative services, general",,"This instructional program class comprises any general program that prepares individuals to provide administrative support services in a veterinary office or animal care facility. These programs include courses in business office operations, customer service, principles of veterinary health care operations, record-keeping, veterinary terminology, and professional standards and ethics."
3,Class,01.8202,01.82,Veterinary office management/administration,,"This instructional program class comprises any program that prepares individuals to manage the specialized business functions of a veterinary office. These programs include courses in business office operations, business and financial record-keeping, personnel supervision, veterinary care policy administration, conference planning, scheduling and coordination, public relations, and applicable law and regulations."
